annotation_id,query,taxonomy_version
ANN_B2_334,Route 570?,T3
ANN_B2_304,where should i interchange between mylapore and velachery,T3
ANN_B2_091,क्या सीएमबीटी से एयरपोर्ट यात्रा पर स्मार्ट कार्ड से डिस्काउंट मिलता है?,T3
ANN_B2_186,rout 19B,T3
ANN_B2_154,कहाँ से वेलाचेरी जाऊं?,T3
ANN_B2_294,kymbd se alndr drct srvc hai ya chg,T3
ANN_B2_326,सीएमबीटी से 570 का समय सारिणी के अनुसार समय क्या है,T3
ANN_B2_286,agar metro smart card se travel kare to token ke comparison me kitna discount milta hai?,T3
ANN_B2_029,Thiruvanmiyur to anywhere metro?,T3
ANN_B2_202,क्या गिंडी से आलंदूर यात्रा पर स्मार्ट कार्ड से डिस्काउंट मिलता है?,T3
ANN_B2_240,Good South Indian vegetarian restaurants near Avadi station?,T3
ANN_B2_337,Perungalathur to anywhere metro?,T3
ANN_B2_254,anna nagar se night last metro train kitne baje tak milti hai,T3
ANN_B2_301,114 to koyambedu ,T3
ANN_B2_206,Central to anywhere metro?,T3
ANN_B2_185,can i use chennai metro smart card for discount on washermenpet to airport journey,T3
ANN_B2_333,54 Porur rukegi kya bahi?,T3
ANN_B2_052,570 siruseri it park rukegi kya bhai,T3
ANN_B2_196,tmbrm lcl 1845,T3
ANN_B2_097,guindy midnight train,T3
ANN_B2_076,एगमर स चननई सटरल यत्र क लए टकन य कर्ड नयम क्य ह,T3
ANN_B2_007,Bus A1 stops sequence please,T3
ANN_B2_177,does route 114 halt at red hills,T3
ANN_B2_199,102 to siruseri,T3
ANN_B2_295,green line metro halts from vadapalani to st thomas mount,T3
ANN_B2_010,Route Green Line ke sare stops sequence me batao,T3
ANN_B2_132,gindi se Koyambedu transit se kaise jayein,T3
ANN_B2_046,Which is the closest metro station to Vandalur Zoo?,T3
ANN_B2_191,10:00 night scheduled metro departure from central?,T3
ANN_B2_275,बस 102 sholinganallur जाएगी?,T3
ANN_B2_261,Chromepet bus schedule or route?,T3
ANN_B2_055,19B के सारे स्टॉप्स की लिस्ट बताएं,T3
ANN_B2_181,ye bus 570 kitni der me ek baar milti hai OMR road pe?,T3
ANN_B2_033,kymbd mtro stn cncrs me atm ya drnkng wtr avlbl hai,T3
ANN_B2_036,Phoenix Marketcity metro se kaise pahuchein?,T3
ANN_B2_160,rt 19b pr liv trckng gps stts khn shw ho rh h,T3
ANN_B2_081,Bus 570 stops sequence pelase,T3
ANN_B2_113,Route 70V?,T3
ANN_B2_335,एयरपोर्ट से सुबह की पहली metro कितने बजे निकलती है?,T3
ANN_B2_245,सिरुसेरी से ब्रॉडवे यात्रा के लिए टोकन या कार्ड नियम क्या है?,T3
ANN_B2_159,vadapalani bus schedule or route,T3
ANN_B2_350,क्य गिंड सटशन पर दवयग क लए लफट और सपरशनय मर्ग हं,T3
ANN_B2_180,कोयम्बेडु में vegetarian food delivery app से आ सकता है?,T3
ANN_B2_328,Washermenpet se night last mtro train kitne baje tak milti hai,T3
ANN_B2_345,How do I reach Velachery from Mylapore by transit?,T3
ANN_B2_111,54 route ke complete stops dikhao,T3
ANN_B2_323,Pallavaram se Central ke liye 07:45 baje scheduled local_train timing kya hai?,T3
ANN_B2_087,क्या 19B बस कलमबाक्कम पर रुकती ह?ै,T3
ANN_B2_252,तांबरम स्टेशन पर गाड़ी पार्किंग की जगह है कय्ा?,T3
ANN_B2_090,Koyambedu से next train kab hai?,T3
ANN_B2_057,Airport se metro line din me kitni frequent hai?,T3
ANN_B2_149,is adyr stn open rght now,T3
ANN_B2_231,570 rout ke complete stops dikhao,T3
ANN_B2_278,Mambalam bus schedule or route?,T3
ANN_B2_225,Porur to Central journey route giudance,T3
ANN_B2_343,Anna Nagar Tower station par line transfer walking corridor rasta,T3
ANN_B2_309,क्या ब्रॉडवे स्टेशन पर दिव्यांगों के लिए लिफ्ट और स्पर्शनीय मार्ग हैं,T3
ANN_B2_348,सेंट्रल मेट्रो स्टेशन सुविधा,T3
ANN_B2_291,10:00 night scheduled metro departure from vadapalani?,T3
ANN_B2_287,Ambattur se Beach ke liye 07:45 baje scheduled local_train timing kya hia?,T3
ANN_B2_106,चेपॉक से आईआईटी मद्रास कैसे पहुंचें?,T3
ANN_B2_150,Where should I interchange between Perambur and Guindy?,T3
ANN_B2_102,बस 19B t nagar जएागी?,T3
ANN_B2_305,is bch stn open rght now,T3
ANN_B2_339,कोयम्बेडु स्टेशन पर गाड़ी पार्किंग की जगह है क्या,T3
ANN_B2_322,गिंडी से आलंदूर का टिकट कितने रुपये का है?,T3
ANN_B2_243,तांबरम में vegetarian food delivery app से आ सकता है?,T3
ANN_B2_082,thirumayilai se beach ke liye subah pehli mrts_train kab nikalti hai,T3
ANN_B2_207,rt a1 ke sr stps sqnc me btao,T3
ANN_B2_234,how do i rch gndy frm prmbr by trnst,T3
ANN_B2_037,54 to kumananchavadi,T3
ANN_B2_128,आलंदूर से गिंडी का किराया कितना लगेगा?,T3
ANN_B2_058,rout 29C ke sare stops sequence me batao,T3
ANN_B2_247,बस 54 brdwy जएग,T3
ANN_B2_145,vdpln stn pe twwhlr prkng fclty hai,T3
ANN_B2_131,सिरुसेरि से सेंट्रल जाने के लिए बस और मेट्रो दोनों का संयुक्त रूट बताएं,T3
ANN_B2_190,route green line par live tracking gps status kahan show ho raha hai,T3
ANN_B2_329,vdpln stn p whlchr pssngr ke ly lft ccssbl h kya,T3
ANN_B2_253,तांबरम में train interchange के लिए platform बदलना पड़ेगा?,T3
ANN_B2_212,Interchange walking details between platforms at Broadway,T3
ANN_B2_073,सीएमबीटी आने वाली 570 अभी लाइव कहाँ पहुंची है?,T3
ANN_B2_256,102 ka official schedule timetable kya hai Adyar Depot par?,T3
ANN_B2_161,Saidapet bus schedule or rout,T3
ANN_B2_066,is thr a drct bus or trn from prmbr to gndy,T3
ANN_B2_114,Route D70?,T3
ANN_B2_056,वलचर स मट्रो,T3
ANN_B2_116,अन्न नगर टवर स एयरपरट क किरय कितन लगग,T3
ANN_B2_123,does route a1 halt at thiruvanmiyur,T3
ANN_B2_024,chck hdwy and freq of dprtrs at klpk,T3
ANN_B2_284,Check headway and frequency of departures at Anna Nagar Tower,T3
ANN_B2_016,Check headway and frequency of departures at Alandur,T3
ANN_B2_303,बस 19b siruseri जाएगी,T3
ANN_B2_095,egmore bus schedule or route,T3
ANN_B2_015,whr shld i xchng btwn chpk and bch,T3
ANN_B2_135,102 live status tracker me abhi kahan pahunchi hai?,T3
ANN_B2_153,102 के सारे स्टॉप्स की लिस्ट बताएं,T3
ANN_B2_267,kymbd se mrnng me phl intrcty bus kab nklg,T3
ANN_B2_133,beach se night last metro train kitne baje tak milti hai,T3
ANN_B2_005,29C to mylapor,T3
ANN_B2_121,A1 ka official schedule timetable kya hai Thiruvanmiyur par?,T3
ANN_B2_042,आवादी से मेट्रो?,T3
ANN_B2_215,Guindy to anywhere mtero?,T3
ANN_B2_047,एग्मोर से मटे्रो?,T3
ANN_B2_107,54 to broadwa,T3
ANN_B2_250,Chepauk to Velachery route par mrts_train kitne minute ke gap me chalti hai?,T3
ANN_B2_020,central से next train kab hai,T3
ANN_B2_004,बस 102 adyar जाएगी,T3
ANN_B2_126,Egmore se morning me pehli suburban train kab niklegi?,T3
ANN_B2_071,Is there a direct bus or train from Mylapore to Velachery?,T3
ANN_B2_347,does 114 stop at thrmnglm,T3
ANN_B2_349,बस 54 porur जाएगी?,T3
ANN_B2_226,whr do i nd to chng lns whn trvlng frm hgh crt to st thms mnt,T3
ANN_B2_053,brdwy to anywhr mtro,T3
ANN_B2_085,गिंड स कयमबड मट्रो स कैस जएं,T3
ANN_B2_302,Anna Nagar Tower se sntrl direct service hai ya change,T3
ANN_B2_172,सिएमबीटी से एयरपोर्ट का टिकट कितने रुपये का है,T3
ANN_B2_197,Chengalpattu to Tambaram route par suburban_local kitne minute ke gap me chalti hai?,T3
ANN_B2_272,किल्पौक स एयरपरट क एक तरफ क यत्र क किरय क्य है,T3
ANN_B2_064,Is Alandur station open right nwo?,T3
ANN_B2_003,आलंदूर आने वाली metro का live delay status क्या है?,T3
ANN_B2_187,Is there a direct metro train between High Court and St. Thomas Mount?,T3
ANN_B2_142,कोयम्बेडु से एयरपोर्ट का किराया कितना लगेगा?,T3
ANN_B2_157,Can you recommend cheap hotels or guest houses near Chennai koyambedu railway station?,T3
ANN_B2_195,Phoenix Marketcity ke paas kaun sa metro station hai?,T3
ANN_B2_011,Koyambedu se 1015 pe konsi scheduled intercity bus hai,T3
ANN_B2_317,Vandalur Zoo metro se kaise pahuchein?,T3
ANN_B2_189,Anna University ke paas kaun sa metro station hai?,T3
