utterance_id,semantic_scenario_id,contrast_group_id,semantic_family_id,family_id,paraphrase_group_id,query,clean_query,language_class,language,script,code_switch_level,noise_level,noise_type,semantic_operation,semantic_subtype,T2_label,T3_label,slots_json,canonical_entities_json,answerability_status,ambiguity_type,clarification_required,acceptable_secondary_labels,generation_method,author_source,human_reviewed,review_status
GB1_00001,HB_POINT_TO_POINT_ROUTE_14476,CG_ROUTE_AVAIL_XFER_001,p2p_direct_inquiry,p2p_direct_inquiry_en,PG_p2p_direct_inquiry_en,How can I travel from Central to Airport by mtero?,How can I travel from Central to Airport by metro?,EN,en,Latn,CS0,N3,keyboard_adjacent_typo,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00002,HB_MODE_AVAILABILITY_97325,CG_ROUTE_AVAIL_XFER_001,avail_direct_check,avail_direct_check_en,PG_avail_direct_check_en,Is there a direct metro train between Central and Airport?,Is there a direct metro train between Central and Airport?,EN,en,Latn,CS0,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00003,HB_INTERCHANGE_TRANSFER_68608,CG_ROUTE_AVAIL_XFER_001,xfer_location_ask,xfer_location_ask_en,PG_xfer_location_ask_en,Where do I need to change lines when traveling from Central to Airport?,Where do I need to change lines when traveling from Central to Airport?,EN,en,Latn,CS0,N0,clean,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00004,HB_POINT_TO_POINT_ROUTE_04584,CG_ROUTE_AVAIL_XFER_002,p2p_direct_inquiry,p2p_direct_inquiry_hi_deva,PG_p2p_direct_inquiry_hi_deva,गिंड स कयमबड मट्रो स कैस जएं,गिंडी से कोयम्बेडु मेट्रो से कैसे जाएं?,HI_DEVA,hi,Deva,CS0,N4,vowel_omission_and_truncation,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00005,HB_MODE_AVAILABILITY_16433,CG_ROUTE_AVAIL_XFER_002,avail_direct_check,avail_direct_check_hi_deva,PG_avail_direct_check_hi_deva,गिंडी से कोयम्बेडु के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,गिंडी से कोयम्बेडु के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,HI_DEVA,hi,Deva,CS0,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00006,HB_INTERCHANGE_TRANSFER_20867,CG_ROUTE_AVAIL_XFER_002,xfer_location_ask,xfer_location_ask_hi_deva,PG_xfer_location_ask_hi_deva,गिंडि से कोयम्बेडु जाते वक्त ट्रेन कहाँ बदलनी पड़ती है,गिंडी से कोयम्बेडु जाते वक्त ट्रेन कहाँ बदलनी पड़ती है?,HI_DEVA,hi,Deva,CS0,N2,phonetic_transliteration_misspelling,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00007,HB_POINT_TO_POINT_ROUTE_13842,CG_ROUTE_AVAIL_XFER_003,p2p_direct_inquiry,p2p_direct_inquiry_hi_latn,PG_p2p_direct_inquiry_hi_latn,Alandur se Egmore metro se kaise jaun?,Alandur se Egmore metro se kaise jaun?,HI_LATN,hi,Latn,CS2,N0,clean,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00008,HB_MODE_AVAILABILITY_76026,CG_ROUTE_AVAIL_XFER_003,avail_direct_check,avail_direct_check_hinglish_latn,PG_avail_direct_check_hinglish_latn,Alandur se Egmore direct metro service hai kya?,Alandur se Egmore direct metro service hai kya?,HINGLISH_LATN,hi,Latn,CS3,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00009,HB_INTERCHANGE_TRANSFER_64941,CG_ROUTE_AVAIL_XFER_003,xfer_location_ask,xfer_location_ask_hinglish_latn,PG_xfer_location_ask_hinglish_latn,Alandur to Egmore route me line change kahan karni hogi?,Alandur to Egmore route me line change kahan karni hogi?,HINGLISH_LATN,hi,Latn,CS3,N0,clean,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00010,HB_POINT_TO_POINT_ROUTE_62144,CG_ROUTE_AVAIL_XFER_004,p2p_direct_inquiry,p2p_direct_inquiry_en,PG_p2p_direct_inquiry_en,How can I travel from Thirumangalam to Saidapet by metro?,How can I travel from Thirumangalam to Saidapet by metro?,EN,en,Latn,CS0,N0,clean,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00011,HB_MODE_AVAILABILITY_69158,CG_ROUTE_AVAIL_XFER_004,avail_direct_check,avail_direct_check_en,PG_avail_direct_check_en,is there a direct metro train between thirumangalam and saidapet,Is there a direct metro train between Thirumangalam and Saidapet?,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00012,HB_INTERCHANGE_TRANSFER_86655,CG_ROUTE_AVAIL_XFER_004,xfer_location_ask,xfer_location_ask_en,PG_xfer_location_ask_en,where do i need to change lines when traveling from thirumangalam to saidapet,Where do I need to change lines when traveling from Thirumangalam to Saidapet?,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00013,HB_POINT_TO_POINT_ROUTE_98158,CG_ROUTE_AVAIL_XFER_005,p2p_direct_inquiry,p2p_direct_inquiry_hi_deva,PG_p2p_direct_inquiry_hi_deva,सीएमबीटी से एयरपोर्ट मेट्रो से कैसे जाएं,सीएमबीटी से एयरपोर्ट मेट्रो से कैसे जाएं?,HI_DEVA,hi,Deva,CS0,N1,casing_and_punctuation_normalization,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00014,HB_MODE_AVAILABILITY_01052,CG_ROUTE_AVAIL_XFER_005,avail_direct_check,avail_direct_check_hi_deva,PG_avail_direct_check_hi_deva,सीएमबीटी से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या,सीएमबीटी से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,HI_DEVA,hi,Deva,CS0,N1,casing_and_punctuation_normalization,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00015,HB_INTERCHANGE_TRANSFER_77811,CG_ROUTE_AVAIL_XFER_005,xfer_location_ask,xfer_location_ask_hi_deva,PG_xfer_location_ask_hi_deva,सीएमबीटी से एयरपोर्ट जाते वक्त ट्रेन कहाँ बदलनी पड़ती है?,सीएमबीटी से एयरपोर्ट जाते वक्त ट्रेन कहाँ बदलनी पड़ती है?,HI_DEVA,hi,Deva,CS0,N0,clean,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00016,HB_POINT_TO_POINT_ROUTE_43628,CG_ROUTE_AVAIL_XFER_006,p2p_direct_inquiry,p2p_direct_inquiry_hi_latn,PG_p2p_direct_inquiry_hi_latn,Anna Nagar Tower se Guindy metro se kaise jaun?,Anna Nagar Tower se Guindy metro se kaise jaun?,HI_LATN,hi,Latn,CS2,N0,clean,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00017,HB_MODE_AVAILABILITY_82586,CG_ROUTE_AVAIL_XFER_006,avail_direct_check,avail_direct_check_hinglish_latn,PG_avail_direct_check_hinglish_latn,anna ngr twr se gndy drct mtro srvc hai kya,Anna Nagar Tower se Guindy direct metro service hai kya?,HINGLISH_LATN,hi,Latn,CS3,N4,vowel_omission_and_truncation,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00018,HB_INTERCHANGE_TRANSFER_25596,CG_ROUTE_AVAIL_XFER_006,xfer_location_ask,xfer_location_ask_hinglish_latn,PG_xfer_location_ask_hinglish_latn,nn ngr twr to gndy rt me ln chng khn krn hg,Anna Nagar Tower to Guindy route me line change kahan karni hogi?,HINGLISH_LATN,hi,Latn,CS3,N5,commuter_sms_chat_shorthand,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00019,HB_POINT_TO_POINT_ROUTE_66607,CG_ROUTE_AVAIL_XFER_007,p2p_direct_inquiry,p2p_direct_inquiry_en,PG_p2p_direct_inquiry_en,How can I travel from Washermenpet to Alandur by metro?,How can I travel from Washermenpet to Alandur by metro?,EN,en,Latn,CS0,N0,clean,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00020,HB_MODE_AVAILABILITY_29945,CG_ROUTE_AVAIL_XFER_007,avail_direct_check,avail_direct_check_en,PG_avail_direct_check_en,is there a direct metro train between washermenpet and alandur,Is there a direct metro train between Washermenpet and Alandur?,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00021,HB_INTERCHANGE_TRANSFER_91213,CG_ROUTE_AVAIL_XFER_007,xfer_location_ask,xfer_location_ask_en,PG_xfer_location_ask_en,Where do I need to change lines when traveling from Washermenpet to Alandur?,Where do I need to change lines when traveling from Washermenpet to Alandur?,EN,en,Latn,CS0,N0,clean,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00022,HB_POINT_TO_POINT_ROUTE_28035,CG_ROUTE_AVAIL_XFER_008,p2p_direct_inquiry,p2p_direct_inquiry_hi_deva,PG_p2p_direct_inquiry_hi_deva,किल्पौक से एयरपोर्ट मेट्रो से कैसे जाएं?,किल्पौक से एयरपोर्ट मेट्रो से कैसे जाएं?,HI_DEVA,hi,Deva,CS0,N0,clean,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00023,HB_MODE_AVAILABILITY_70120,CG_ROUTE_AVAIL_XFER_008,avail_direct_check,avail_direct_check_hi_deva,PG_avail_direct_check_hi_deva,किल्पौक से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,किल्पौक से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,HI_DEVA,hi,Deva,CS0,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
