annotation_id,taxonomy,query,reference_primary,model_primary,reference_acceptable,model_acceptable,reference_clarification,model_clarification,model_clarification_reasons,model_brief_justification,disagreement_flags,disagreement_score
ANN_B2_002,T2,Is Velachery stn open right now,service_availability,service_availability,service_availability|service_timing,realtime_status_query|service_availability|service_timing,True,False,,The query is a binary operational inquiry asking whether Velachery station is currently open and functional for transit service (service_availability). Plausible secondary readings include checking current-state dynamic operational status or disruption (realtime_status_query) and inquiring whether the current time falls within scheduled station operating hours (service_timing).,acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_004,T2,बस 102 adyar जाएगी,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,"The query 'बस 102 adyar जाएगी' inquires whether bus route 102 serves Adyar, functioning primarily as a stop membership check along a designated route (route_stops). A secondary plausible interpretation is an operational check on whether service to Adyar is running (service_availability).",acceptable_set_mismatch,1
ANN_B2_005,T2,29C to mylapor,route_stops,,route_stops,route_query|route_stops|service_availability,False,True,intent_ambiguity,"The utterance '29C to mylapor' is an underspecified keyword phrase containing a transit route identifier and a destination without an explicit verb or interrogative frame. Semantically, it is indeterminate between an inquiry verifying whether Mylapore is a stop on route 29C (route_stops), a journey planning inquiry seeking directions to Mylapore on 29C (route_query), or a check on whether 29C service operates to Mylapore (service_availability). Under Section 4 of the guidelines, genuine intent ambiguity without a single defensible primary label requires setting primary_label to null and requesting clarification.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_008,T2,Alandur से next train kab hai?,service_timing,service_timing,service_availability|service_timing,service_timing,True,True,missing_slot,"The query asks for the scheduled departure time ('next train kab hai') from Alandur station, which falls under service_timing. However, it lacks the destination or line direction slot, necessitating clarification to execute the schedule lookup.",acceptable_set_mismatch,1
ANN_B2_009,T2,Alandur se Egmore?,route_query,route_query,fare_query|interchange_query|route_query|service_availability,route_query|service_availability,True,False,,"The query presents an origin ('Alandur se' / from Alandur) and a destination ('Egmore') in an elliptical question format. Specifying an origin-destination pair expresses an intent for transit directions or journey planning between two points (route_query). Secondarily, the phrasing can be interpreted as checking whether a direct transit connection operates between these two points (service_availability).",acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_011,T2,Koyambedu se 1015 pe konsi scheduled intercity bus hai,service_timing,service_timing,service_timing,service_availability|service_timing,False,False,,"The commuter is asking for scheduled departures ('scheduled intercity bus') from Koyambedu at a specific timetable departure time ('1015 pe'), which falls under service_timing. Service_availability is included as a secondary acceptable candidate as it asks which operating services exist at that designated time.",acceptable_set_mismatch,1
ANN_B2_012,T2,570 central junction?,route_stops,,route_stops,route_query|route_stops|service_availability,False,True,intent_ambiguity,"The telegraphic query provides only a route number ('570') and a location/stop ('central junction') without any verb or question marker. It is genuinely ambiguous among checking whether the route halts at that stop (route_stops), checking if service operates there (service_availability), and seeking journey planning/directions (route_query).",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_014,T2,route 114,route_stops,,route_stops|service_availability|service_timing,route_query|route_stops,True,True,intent_ambiguity,"The utterance 'route 114' provides only a route identifier without any action verb, origin/destination endpoints, or question framing. It is semantically indeterminate between seeking the route path/journey alignment (route_query) and seeking the intermediate stations or bus stops along the designated route (route_stops). Under the ambiguity guidelines, when no single intent is defensibly primary, primary_label must be set to null with clarification required for intent ambiguity.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_015,T2,whr shld i xchng btwn chpk and bch,interchange_query,route_query,interchange_query,interchange_query|route_query,False,False,,"The commuter asks where to transfer along a journey between two stations ('chpk'/Chepauk and 'bch'/Beach). Under Boundary Rule 3.2, inquiries regarding journey planning and traveling across town between origin and destination are classified as 'route_query'. However, because the user explicitly asks where to 'xchng' (exchange/transfer), 'interchange_query' represents a valid secondary interpretation.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_019,T2,बस 29c san thome जाएगी,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,The user asks whether designated bus route 29C goes to San Thome ('बस 29c san thome जाएगी'). This is primarily a stop membership check along a specified transit route (route_stops). It also carries a plausible secondary reading checking whether transit service operates to that destination (service_availability).,acceptable_set_mismatch,1
ANN_B2_020,T2,central से next train kab hai,service_timing,service_timing,service_availability|service_timing,service_timing,True,True,missing_slot,"The commuter is asking for the departure schedule of the next train from Central ('next train kab hai'), which falls under service_timing. Because the destination station or direction is not specified, this query has an execution gap requiring slot clarification (missing_slot).",acceptable_set_mismatch,1
ANN_B2_021,T2,Velachery bus schedule or route?,service_timing,,route_query|route_stops|service_timing,route_query|service_timing,True,True,intent_ambiguity,"The query explicitly poses a disjunctive choice between timetable schedule information ('schedule' -> service_timing) and journey directions ('route' -> route_query). Because neither intent is prioritized or defensible as the primary label, the query presents genuine semantic ambiguity.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_022,T2,कहाँ से बीच जाऊं?,route_query,route_query,route_query|service_availability,route_query,True,True,missing_slot,"The commuter is asking how to travel to Beach ('बीच जाऊं'), which expresses a journey planning inquiry (route_query). Because the origin point is unspecified ('कहाँ से'), the query exhibits execution incompleteness (missing_slot) rather than semantic intent ambiguity.",acceptable_set_mismatch,1
ANN_B2_023,T2,can i use chennai metro smart card for discount on airport to central journey,ticketing_rules,ticketing_rules,ticketing_rules,fare_query|ticketing_rules,False,False,,"The user is inquiring whether a metro smart card is eligible for a discount/concession on a specific journey. Smart card usage terms, concessions, and fare discount policies fall primarily under ticketing_rules, with fare_query as a plausible secondary interpretation relating to discounted trip pricing.",acceptable_set_mismatch,1
ANN_B2_025,T2,CMBT se Ariport?,route_query,route_query,fare_query|route_query|service_availability|service_timing,route_query|service_availability,True,False,,"The commuter query specifies an origin ('CMBT se' / from CMBT) and destination ('Ariport' / Airport) in Hindi/Hinglish, expressing an origin-destination journey planning request (route_query). The elliptical question phrasing without an explicit predicate verb makes service availability a plausible secondary interpretation.",acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_027,T2,Egmore से next train kab h,service_timing,service_timing,service_availability|service_timing,service_timing,True,True,missing_slot,"The commuter asks for the departure time of the upcoming train from Egmore ('next train kab h'), which is a schedule inquiry classified under service_timing. Per boundary rule 3.4, temporal expressions without explicit dynamic tracking or delay cues represent static schedule timing rather than real-time tracking. Clarification is required due to execution incompleteness as the destination/direction slot is missing.",acceptable_set_mismatch,1
ANN_B2_028,T2,बस A1 war memorial जाएगी?,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,The user asks whether a designated bus route ('A1') goes to/halts at a specific stop ('War Memorial'). This constitutes a route stop membership inquiry ('route_stops'). A secondary interpretation is checking operational service availability to that destination ('service_availability').,acceptable_set_mismatch,1
ANN_B2_029,T2,Thiruvanmiyur to anywhere metro?,route_query,service_availability,route_query|route_stops|service_availability,route_query|service_availability,True,False,,The commuter is asking whether metro service operates or exists from Thiruvanmiyur to any destination ('to anywhere metro?'). This is primarily an operational existence/availability check for a transit mode (service_availability). It can secondarily be interpreted as an underspecified journey planning inquiry (route_query).,primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
