utterance_id,semantic_scenario_id,contrast_group_id,semantic_family_id,family_id,paraphrase_group_id,query,clean_query,language_class,language,script,code_switch_level,noise_level,noise_type,semantic_operation,semantic_subtype,T2_label,T3_label,slots_json,canonical_entities_json,answerability_status,ambiguity_type,clarification_required,acceptable_secondary_labels,generation_method,author_source,human_reviewed,review_status,factual_grounding_status,topology_source,topology_status
GB1_00111,HB_STATION_FACILITIES_72244,CG_FACIL_A11Y_001,facil_parking_ask,facil_parking_ask_en,PG_facil_parking_ask_en,Is vehicle parking space available at Guindy metro station?,Is vehicle parking space available at Guindy metro station?,EN,en,Latn,CS0,N0,clean,GET_STATION_FACILITY,facilities,station_facilities,station_facilities,"{""origin"": ""HUB_GUINDY""}","[{""surface"": ""Guindy"", ""entity_type"": ""transport_hub"", ""canonical_id"": ""HUB_GUINDY"", ""canonical_name"": ""Guindy"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00112,HB_STATION_ACCESSIBILITY_91259,CG_FACIL_A11Y_001,a11y_wheelchair_ask,a11y_wheelchair_ask_en,PG_a11y_wheelchair_ask_en,Is gindi station wheelchair accessible with elevators,Is Guindy station wheelchair accessible with elevators?,EN,en,Latn,CS0,N2,phonetic_transliteration_misspelling,GET_ACCESSIBILITY_INFO,accessibility,accessibility,station_accessibility,"{""origin"": ""HUB_GUINDY""}","[{""surface"": ""Guindy station"", ""entity_type"": ""transport_hub"", ""canonical_id"": ""HUB_GUINDY"", ""canonical_name"": ""Guindy"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00113,HB_STATION_FACILITIES_07241,CG_FACIL_A11Y_002,facil_parking_ask,facil_parking_ask_hi_deva,PG_facil_parking_ask_hi_deva,चेन्नई सेंट्रल स्टेशन पर गाड़ी पार्किंग की जगह है क्या?,चेन्नई सेंट्रल स्टेशन पर गाड़ी पार्किंग की जगह है क्या?,HI_DEVA,hi,Deva,CS0,N0,clean,GET_STATION_FACILITY,facilities,station_facilities,station_facilities,"{""origin"": ""HUB_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL""}","[{""surface"": ""चेन्नई सेंट्रल"", ""entity_type"": ""transport_hub"", ""canonical_id"": ""HUB_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL"", ""canonical_name"": ""Puratchi Thalaivar Dr. M. G. Ramachandran Central"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00114,HB_STATION_ACCESSIBILITY_25481,CG_FACIL_A11Y_002,a11y_wheelchair_ask,a11y_wheelchair_ask_hi_deva,PG_a11y_wheelchair_ask_hi_deva,क्या चेन्नई सेंट्रल स्टेशन पर दिव्यांगों के लिए लिफ्ट और रैंप ह?ै,क्या चेन्नई सेंट्रल स्टेशन पर दिव्यांगों के लिए लिफ्ट और रैंप है?,HI_DEVA,hi,Deva,CS0,N3,keyboard_adjacent_typo,GET_ACCESSIBILITY_INFO,accessibility,accessibility,station_accessibility,"{""origin"": ""HUB_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL""}","[{""surface"": ""चेन्नई सेंट्रल"", ""entity_type"": ""transport_hub"", ""canonical_id"": ""HUB_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL"", ""canonical_name"": ""Puratchi Thalaivar Dr. M. G. Ramachandran Central"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00117,HB_STATION_FACILITIES_49113,CG_FACIL_A11Y_004,facil_parking_ask,facil_parking_ask_en,PG_facil_parking_ask_en,Is vehicle parking space available at Anna Nagar Tower metro station?,Is vehicle parking space available at Anna Nagar Tower metro station?,EN,en,Latn,CS0,N0,clean,GET_STATION_FACILITY,facilities,station_facilities,station_facilities,"{""origin"": ""METRO_ANNA_NAGAR_TOWER""}","[{""surface"": ""Anna Nagar Tower"", ""entity_type"": ""transport_stop"", ""canonical_id"": ""METRO_ANNA_NAGAR_TOWER"", ""canonical_name"": ""Anna Nagar Tower"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00118,HB_STATION_ACCESSIBILITY_22912,CG_FACIL_A11Y_004,a11y_wheelchair_ask,a11y_wheelchair_ask_en,PG_a11y_wheelchair_ask_en,Is Anna Nagar Tower station wheelchair accessible with elevators?,Is Anna Nagar Tower station wheelchair accessible with elevators?,EN,en,Latn,CS0,N0,clean,GET_ACCESSIBILITY_INFO,accessibility,accessibility,station_accessibility,"{""origin"": ""METRO_ANNA_NAGAR_TOWER""}","[{""surface"": ""Anna Nagar Tower"", ""entity_type"": ""transport_stop"", ""canonical_id"": ""METRO_ANNA_NAGAR_TOWER"", ""canonical_name"": ""Anna Nagar Tower"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00123,HB_STATION_FACILITIES_20303,CG_FACIL_A11Y_007,facil_parking_ask,facil_parking_ask_en,PG_facil_parking_ask_en,Is vehicle parking space available at Airport metro station?,Is vehicle parking space available at Airport metro station?,EN,en,Latn,CS0,N0,clean,GET_STATION_FACILITY,facilities,station_facilities,station_facilities,"{""origin"": ""HUB_CHENNAI_INTERNATIONAL_AIRPORT""}","[{""surface"": ""Airport"", ""entity_type"": ""transport_hub"", ""canonical_id"": ""HUB_CHENNAI_INTERNATIONAL_AIRPORT"", ""canonical_name"": ""Chennai International Airport"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00124,HB_STATION_ACCESSIBILITY_46648,CG_FACIL_A11Y_007,a11y_wheelchair_ask,a11y_wheelchair_ask_en,PG_a11y_wheelchair_ask_en,is airport station wheelchair accessible with elevators,Is Airport station wheelchair accessible with elevators?,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,GET_ACCESSIBILITY_INFO,accessibility,accessibility,station_accessibility,"{""origin"": ""HUB_CHENNAI_INTERNATIONAL_AIRPORT""}","[{""surface"": ""Airport"", ""entity_type"": ""transport_hub"", ""canonical_id"": ""HUB_CHENNAI_INTERNATIONAL_AIRPORT"", ""canonical_name"": ""Chennai International Airport"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00129,HB_STATION_FACILITIES_58895,CG_FACIL_A11Y_010,facil_parking_ask,facil_parking_ask_en,PG_facil_parking_ask_en,is vhcl prkng spc avl at klpk mtro stn,Is vehicle parking space available at Kilpauk metro station?,EN,en,Latn,CS0,N5,commuter_sms_chat_shorthand,GET_STATION_FACILITY,facilities,station_facilities,station_facilities,"{""origin"": ""METRO_KILPAUK""}","[{""surface"": ""Kilpauk"", ""entity_type"": ""transport_stop"", ""canonical_id"": ""METRO_KILPAUK"", ""canonical_name"": ""Kilpauk"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
GB1_00130,HB_STATION_ACCESSIBILITY_78726,CG_FACIL_A11Y_010,a11y_wheelchair_ask,a11y_wheelchair_ask_en,PG_a11y_wheelchair_ask_en,Is Kilpauk station wheelchair accessible with elevators?,Is Kilpauk station wheelchair accessible with elevators?,EN,en,Latn,CS0,N0,clean,GET_ACCESSIBILITY_INFO,accessibility,accessibility,station_accessibility,"{""origin"": ""METRO_KILPAUK""}","[{""surface"": ""Kilpauk"", ""entity_type"": ""transport_stop"", ""canonical_id"": ""METRO_KILPAUK"", ""canonical_name"": ""Kilpauk"", ""operator"": ""CMRL"", ""mode"": ""metro"", ""role"": ""origin""}]",ANSWERABLE_NOW,none,False,[],grounded_template_instantiation,CURATED_MINIMAL_PAIR,false,UNREVIEWED,GROUNDED_FACTUAL,,
