annotation_id,utterance_id,query,T2_reviewer_1,T2_reviewer_2,T3_reviewer_1,T3_reviewer_2,reviewer_1_clarification_required,reviewer_2_clarification_required,reviewer_1_notes,reviewer_2_notes
ANN_B2_001,GB1_00277,सिरुसेरी से ब्रॉडवे का किराया कितना लगेगा?,,,,,,,,
ANN_B2_002,GB1_00656,Is Velachery stn open right now,,,,,,,,
ANN_B2_003,GB1_02384,आलंदूर आने वाली metro का live delay status क्या है?,,,,,,,,
ANN_B2_004,GB1_00839,बस 102 adyar जाएगी,,,,,,,,
ANN_B2_005,GB1_00854,29C to mylapor,,,,,,,,
ANN_B2_006,GB1_00109,What is the single token fare between Washermenpet and Airport?,,,,,,,,
ANN_B2_007,GB1_00221,Bus A1 stops sequence please,,,,,,,,
ANN_B2_008,GB1_00624,Alandur से next train kab hai?,,,,,,,,
ANN_B2_009,GB1_00438,Alandur se Egmore?,,,,,,,,
ANN_B2_010,GB1_01750,Route Green Line ke sare stops sequence me batao,,,,,,,,
ANN_B2_011,GB1_00234,Koyambedu se 1015 pe konsi scheduled intercity bus hai,,,,,,,,
ANN_B2_012,GB1_00723,570 central junction?,,,,,,,,
ANN_B2_013,GB1_00403,fort se tmbrm ke liye 0745 baje schdld lcl_trn tmg kya hai,,,,,,,,
ANN_B2_014,GB1_00550,route 114,,,,,,,,
ANN_B2_015,GB1_00409,whr shld i xchng btwn chpk and bch,,,,,,,,
ANN_B2_016,GB1_01903,Check headway and frequency of departures at Alandur,,,,,,,,
ANN_B2_017,GB1_00407,How do I reach Beach from Chepauk by transit?,,,,,,,,
ANN_B2_018,GB1_00328,a1 live stts trckr me abhi khn phnch hai,,,,,,,,
ANN_B2_019,GB1_00862,बस 29c san thome जाएगी,,,,,,,,
ANN_B2_020,GB1_00594,central से next train kab hai,,,,,,,,
ANN_B2_021,GB1_00529,Velachery bus schedule or route?,,,,,,,,
ANN_B2_022,GB1_00641,कहाँ से बीच जाऊं?,,,,,,,,
ANN_B2_023,GB1_00092,can i use chennai metro smart card for discount on airport to central journey,,,,,,,,
ANN_B2_024,GB1_01909,chck hdwy and freq of dprtrs at klpk,,,,,,,,
ANN_B2_025,GB1_00440,CMBT se Ariport?,,,,,,,,
ANN_B2_026,GB1_01205,tmbrm stn pr grn ln s tr kar bl ln ln ke ly khn jn pdg,,,,,,,,
ANN_B2_027,GB1_00600,Egmore से next train kab h,,,,,,,,
ANN_B2_028,GB1_00889,बस A1 war memorial जाएगी?,,,,,,,,
ANN_B2_029,GB1_00652,Thiruvanmiyur to anywhere metro?,,,,,,,,
ANN_B2_030,GB1_00538,क्रोमपेट से मेट्रो,,,,,,,,
ANN_B2_031,GB1_01436,good south indian vegetarian restaurants near high court station,,,,,,,,
ANN_B2_032,GB1_00499,High Court bus schedule or route?,,,,,,,,
ANN_B2_033,GB1_01178,kymbd mtro stn cncrs me atm ya drnkng wtr avlbl hai,,,,,,,,
ANN_B2_034,GB1_00816,114 to nn ngr,,,,,,,,
ANN_B2_035,GB1_00623,कहाँ से कोयम्बेडु जाऊं?,,,,,,,,
ANN_B2_036,GB1_00340,Phoenix Marketcity metro se kaise pahuchein?,,,,,,,,
ANN_B2_037,GB1_00876,54 to kumananchavadi,,,,,,,,
ANN_B2_038,GB1_01799,Route Blue Line Airport par halt karti hai kya?,,,,,,,,
ANN_B2_039,GB1_00724,570 airport jnuction?,,,,,,,,
ANN_B2_040,GB1_00635,कहाँ से ब्रॉडवे जाऊं?,,,,,,,,
ANN_B2_041,GB1_00176,How do I travel to Vandalur Zoo using public transport?,,,,,,,,
ANN_B2_042,GB1_00523,आवादी से मेट्रो?,,,,,,,,
ANN_B2_043,GB1_00900,बस 19b adyr जएग,,,,,,,,
ANN_B2_044,GB1_00610,tmbrm to anywhr mtro,,,,,,,,
ANN_B2_045,GB1_00870,54 to giundy,,,,,,,,
ANN_B2_046,GB1_00175,Which is the closest metro station to Vandalur Zoo?,,,,,,,,
ANN_B2_047,GB1_00513,एग्मोर से मटे्रो?,,,,,,,,
ANN_B2_048,GB1_00049,Please list all stops along bus route A1,,,,,,,,
ANN_B2_049,GB1_01791,route 21g guindy par halt karti hai kya,,,,,,,,
ANN_B2_050,GB1_01324,tmbrm s nght lst mtro trn ktn bj tak mlt h,,,,,,,,
ANN_B2_051,GB1_00519,Shenoy Nagar bus schedule or rout,,,,,,,,
ANN_B2_052,GB1_00042,570 siruseri it park rukegi kya bhai,,,,,,,,
ANN_B2_053,GB1_00634,brdwy to anywhr mtro,,,,,,,,
ANN_B2_054,GB1_01901,chck hdwy and freq of dprtrs at cntrl,,,,,,,,
ANN_B2_055,GB1_00051,19B के सारे स्टॉप्स की लिस्ट बताएं,,,,,,,,
ANN_B2_056,GB1_00528,वलचर स मट्रो,,,,,,,,
ANN_B2_057,GB1_00245,Airport se metro line din me kitni frequent hai?,,,,,,,,
ANN_B2_058,GB1_01745,rout 29C ke sare stops sequence me batao,,,,,,,,
ANN_B2_059,GB1_00801,बस 570 vadapalani जाएगी?,,,,,,,,
