utterance_id,semantic_scenario_id,semantic_family_id,family_id,paraphrase_group_id,taxonomy_version,taxonomy_label,semantic_operation,query,language,script,code_switch_level,noise_level,slots_json,canonical_entities_json,answerability_status,generation_method,template_id
PILOT_T3_TR_000001,,SFAM_ROUTE_STOP_MEMBERSHIP_016,FAM_ROUTE_STOP_MEMBERSHIP_016,PARA_ROUTE_STOP_MEMBERSHIP_15_1,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,Could you specify क्या बस 21G पुदुपट्टिनम स्टॉप पर रुकती है? (जांच F16)? #3,hi,Deva,CS0,N0,"{""route_number"": ""21G"", ""stop"": ""पुदुपट्टिनम"", ""transport_mode"": ""बस""}","{""route_id"": ""GTFS_ROUTE_8458"", ""stop_id"": ""BUS_3616510666""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HI_DEVA_15
PILOT_T3_TR_000002,,SFAM_ROUTE_STOP_SEQUENCE_004,FAM_ROUTE_STOP_SEQUENCE_004,PARA_ROUTE_STOP_SEQUENCE_3_0,T3_FINE_V1,route_stop_sequence,LIST_ROUTE_STOPS,List every intermediate stop along route 570 in order. [seq F4],en,Latn,CS0,N0,"{""route_number"": ""570"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_17967""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_SEQUENCE_EN_3
PILOT_T3_TR_000003,,SFAM_ROUTE_STOP_MEMBERSHIP_006,FAM_ROUTE_STOP_MEMBERSHIP_006,PARA_ROUTE_STOP_MEMBERSHIP_5_1,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,क्या बस 29C पूनमल्ली स्टॉप पर रुकती है? (जांच F6),hi,Deva,CS0,N0,"{""route_number"": ""29C"", ""stop"": ""पूनमल्ली"", ""transport_mode"": ""बस""}","{""route_id"": ""GTFS_ROUTE_8631"", ""stop_id"": ""BUS_13972050953""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HI_DEVA_5
PILOT_T3_TR_000004,,SFAM_SERVICE_FREQUENCY_005,FAM_SERVICE_FREQUENCY_005,PARA_SERVICE_FREQUENCY_4_1,T3_FINE_V1,service_frequency,GET_SERVICE_FREQUENCY,सीएमबीटी और थाउजेंड लाइट्स के बीच मेट्रो हर कितने मिनट के अंतराल पर चलती है? (आवृत्ति F5),hi,Deva,CS0,N0,"{""origin"": ""सीएमबीटी"", ""destination"": ""थाउजेंड लाइट्स"", ""timing_type"": ""frequency"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT"", ""destination_id"": ""METRO_THOUSAND_LIGHTS""}",ANSWERABLE_NOW,template_instantiation,TMPL_SERVICE_FREQUENCY_HI_DEVA_4
PILOT_T3_TR_000005,,SFAM_ROUTE_STOP_MEMBERSHIP_001,FAM_ROUTE_STOP_MEMBERSHIP_001,PARA_ROUTE_STOP_MEMBERSHIP_0_4,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,Please tell: क्या route 21G bus Tambaram पर rukegi verification F1? #2,hi-en,Deva+Latn,CS4,N0,"{""route_number"": ""21G"", ""stop"": ""Tambaram"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_8458"", ""stop_id"": ""BUS_5304399879""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_MIXED_SCRIPT_CS_0
PILOT_T3_TR_000006,,SFAM_INTERCHANGE_TRANSFER_019,FAM_INTERCHANGE_TRANSFER_019,PARA_INTERCHANGE_TRANSFER_18_3,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,Could you specify Transfer walking time and directions at Kilpauk multimodal terminal (F19)? #3,hi-en,Latn,CS3,N2,"{""station"": ""Kilpauk"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_KILPAUK""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_HINGLISH_LATN_18
PILOT_T3_TR_000007,,SFAM_MODE_AVAILABILITY_008,FAM_MODE_AVAILABILITY_008,PARA_MODE_AVAILABILITY_7_3,T3_FINE_V1,mode_availability,CHECK_SERVICE_AVAILABILITY,Quick check: Is public transit operational connecting High Court and Mylapore (F8)? #4,hi-en,Latn,CS3,N1,"{""origin"": ""High Court"", ""destination"": ""Mylapore"", ""transport_mode"": ""public transit""}","{""origin_id"": ""METRO_HIGHCOURT"", ""destination_id"": ""BUS_410614381""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MODE_AVAILABILITY_HINGLISH_LATN_7
PILOT_T3_TR_000008,,SFAM_STATION_FACILITIES_002,FAM_STATION_FACILITIES_002,PARA_STATION_FACILITIES_1_4,T3_FINE_V1,station_facilities,GET_STATION_FACILITY,क्या Chennai Central station par passengers ke liye two-wheeler bike parking accessible hai F2,hi-en,Deva+Latn,CS4,N0,"{""station"": ""Chennai Central"", ""facility_type"": ""two_wheeler_parking"", ""transport_mode"": ""metro""}","{""station_id"": ""METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_FACILITIES_MIXED_SCRIPT_CS_1
PILOT_T3_TR_000009,,SFAM_REALTIME_STATUS_QUERY_001,FAM_REALTIME_STATUS_QUERY_001,PARA_REALTIME_STATUS_QUERY_0_0,T3_FINE_V1,realtime_status_query,REJECT_UNSUPPORTED_REALTIME,Where is bus 21G right now and what is its live location? [live F1],en,Latn,CS0,N0,"{""route_number"": ""21G"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_8458""}",REQUIRES_REALTIME_DATA,template_instantiation,TMPL_REALTIME_STATUS_QUERY_EN_0
PILOT_T3_TR_000010,,SFAM_INTERCHANGE_TRANSFER_012,FAM_INTERCHANGE_TRANSFER_012,PARA_INTERCHANGE_TRANSFER_11_2,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,Please tell: thousand lights hub par metro line change karke kilpauk kaise jaye? [platform F12] #2,hi,Latn,CS0,N0,"{""station"": ""thousand lights"", ""destination"": ""kilpauk"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_THOUSAND_LIGHTS"", ""destination_id"": ""METRO_KILPAUK""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_HI_LATN_11
PILOT_T3_TR_000011,,SFAM_REALTIME_STATUS_QUERY_017,FAM_REALTIME_STATUS_QUERY_017,PARA_REALTIME_STATUS_QUERY_16_3,T3_FINE_V1,realtime_status_query,REJECT_UNSUPPORTED_REALTIME,Live crowd density and train arrival countdown at St. Thomas Mount right now (F17),hi-en,Latn,CS3,N0,"{""station"": ""St. Thomas Mount"", ""transport_mode"": ""metro""}","{""station_id"": ""METRO_ST__THOMAS_MOUNT""}",REQUIRES_REALTIME_DATA,template_instantiation,TMPL_REALTIME_STATUS_QUERY_HINGLISH_LATN_16
PILOT_T3_TR_000012,,SFAM_FARE_CALCULATION_011,FAM_FARE_CALCULATION_011,PARA_FARE_CALCULATION_10_3,T3_FINE_V1,fare_calculation,CALCULATE_FARE,Could you specify Calculate fare for travel between Egmore and Nehru Park stations (F11)? #3,hi-en,Latn,CS3,N0,"{""origin"": ""Egmore"", ""destination"": ""Nehru Park"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_EGMORE"", ""destination_id"": ""METRO_NEHRU_PARK""}",ANSWERABLE_NOW,template_instantiation,TMPL_FARE_CALCULATION_HINGLISH_LATN_10
PILOT_T3_TR_000013,,SFAM_STATION_ACCESSIBILITY_016,FAM_STATION_ACCESSIBILITY_016,PARA_STATION_ACCESSIBILITY_15_1,T3_FINE_V1,station_accessibility,GET_ACCESSIBILITY_INFO,Could you specify क्या साइदापेट स्टेशन पर दिव्यांग यात्रियों के लिए एस्केलेटर उपलब्ध है? (सुलभता F16)? #3,hi,Deva,CS0,N0,"{""station"": ""साइदापेट"", ""accessibility_feature"": ""escalator"", ""transport_mode"": ""मेट्रो""}","{""station_id"": ""METRO_SAIDAPET""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_ACCESSIBILITY_HI_DEVA_15
PILOT_T3_TR_000014,,SFAM_OUT_OF_SCOPE_017,FAM_OUT_OF_SCOPE_017,PARA_OUT_OF_SCOPE_16_0,T3_FINE_V1,out_of_scope,REJECT_OUT_OF_SCOPE,Could you specify Book a private cab taxi ride from St. Thomas Mount to Alandur. [cab F17]? #3,en,Latn,CS0,N0,"{""origin"": ""St. Thomas Mount"", ""destination"": ""Alandur""}","{""origin_id"": ""METRO_ST__THOMAS_MOUNT"", ""destination_id"": ""METRO_ARIGNAR_ANNA_ALANDUR""}",OUT_OF_SCOPE,template_instantiation,TMPL_OUT_OF_SCOPE_EN_16
PILOT_T3_TR_000015,,SFAM_STATION_ACCESSIBILITY_006,FAM_STATION_ACCESSIBILITY_006,PARA_STATION_ACCESSIBILITY_5_0,T3_FINE_V1,station_accessibility,GET_ACCESSIBILITY_INFO,Are passenger elevator lift provisions available for differently abled passengers at Koyambedu? [a11y F6],en,Latn,CS0,N0,"{""station"": ""Koyambedu"", ""accessibility_feature"": ""lift"", ""transport_mode"": ""metro""}","{""station_id"": ""METRO_KOYAMBEDU""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_ACCESSIBILITY_EN_5
PILOT_T3_TR_000016,,SFAM_ROUTE_STOP_SEQUENCE_012,FAM_ROUTE_STOP_SEQUENCE_012,PARA_ROUTE_STOP_SEQUENCE_11_0,T3_FINE_V1,route_stop_sequence,LIST_ROUTE_STOPS,Quick check: List every intermediate stop along route 22 CT in order. [seq F12] #4,en,Latn,CS0,N0,"{""route_number"": ""22 CT"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_18753""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_SEQUENCE_EN_11
PILOT_T3_TR_000017,,SFAM_MODE_AVAILABILITY_011,FAM_MODE_AVAILABILITY_011,PARA_MODE_AVAILABILITY_10_0,T3_FINE_V1,mode_availability,CHECK_SERVICE_AVAILABILITY,Quick check: Are there direct public transport options from Egmore to Kalpakkam? [avail F11] #4,en,Latn,CS0,N0,"{""origin"": ""Egmore"", ""destination"": ""Kalpakkam"", ""transport_mode"": ""any""}","{""origin_id"": ""METRO_EGMORE"", ""destination_id"": ""BUS_30143150""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MODE_AVAILABILITY_EN_10
PILOT_T3_TR_000018,,SFAM_SCHEDULED_DEPARTURE_004,FAM_SCHEDULED_DEPARTURE_004,PARA_SCHEDULED_DEPARTURE_3_0,T3_FINE_V1,scheduled_departure,GET_SCHEDULED_DEPARTURES,Show metro departure timetable at bare 8 o'clock from Alandur [sched F4],en,Latn,CS0,N0,"{""origin"": ""Alandur"", ""time"": ""8 o'clock"", ""temporal_ambiguity"": true, ""dual_candidates"": [""08:00:00"", ""20:00:00""]}","{""origin_id"": ""METRO_ARIGNAR_ANNA_ALANDUR""}",ANSWERABLE_NOW,template_instantiation,TMPL_SCHEDULED_DEPARTURE_EN_3
PILOT_T3_TR_000019,,SFAM_FARE_CALCULATION_014,FAM_FARE_CALCULATION_014,PARA_FARE_CALCULATION_13_1,T3_FINE_V1,fare_calculation,CALCULATE_FARE,Please tell: वॉशरमैनपेट से एयरपोर्ट तक का मेट्रो का टोकन किराया कितना रुपया है? (किराया F14) #2,hi,Deva,CS0,N0,"{""origin"": ""वॉशरमैनपेट"", ""destination"": ""एयरपोर्ट"", ""fare_type"": ""टोकन"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_WASHERMENPET"", ""destination_id"": ""METRO_CHENNAI_INTERNATIONAL_AIRPORT""}",ANSWERABLE_NOW,template_instantiation,TMPL_FARE_CALCULATION_HI_DEVA_13
PILOT_T3_TR_000020,,SFAM_ROUTE_STOP_MEMBERSHIP_015,FAM_ROUTE_STOP_MEMBERSHIP_015,PARA_ROUTE_STOP_MEMBERSHIP_14_3,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,Quick check: Verify if Bus stand bus stop is covered by route Green Line (F15) #4,hi-en,Latn,CS3,N1,"{""route_number"": ""Green Line"", ""stop"": ""Bus stand"", ""transport_mode"": ""bus""}","{""route_id"": ""CMRL_GREEN_CORRIDOR_2"", ""stop_id"": ""BUS_5300484122""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HINGLISH_LATN_14
PILOT_T3_TR_000021,,SFAM_INTERCHANGE_TRANSFER_007,FAM_INTERCHANGE_TRANSFER_007,PARA_INTERCHANGE_TRANSFER_6_0,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,How do I switch lines to connect towards Washermenpet at Vadapalani interchange? [xfer F7],en,Latn,CS0,N0,"{""station"": ""Vadapalani"", ""destination"": ""Washermenpet"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_VADAPALANI"", ""destination_id"": ""METRO_WASHERMENPET""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_EN_6
PILOT_T3_TR_000022,,SFAM_SCHEDULED_DEPARTURE_003,FAM_SCHEDULED_DEPARTURE_003,PARA_SCHEDULED_DEPARTURE_2_0,T3_FINE_V1,scheduled_departure,GET_SCHEDULED_DEPARTURES,Show metro departure timetable at bare 8 o'clock from Guindy [sched F3],en,Latn,CS0,N0,"{""origin"": ""Guindy"", ""time"": ""8 o'clock"", ""temporal_ambiguity"": true, ""dual_candidates"": [""08:00:00"", ""20:00:00""]}","{""origin_id"": ""METRO_GUINDY""}",ANSWERABLE_NOW,template_instantiation,TMPL_SCHEDULED_DEPARTURE_EN_2
PILOT_T3_TR_000023,,SFAM_OUT_OF_SCOPE_005,FAM_OUT_OF_SCOPE_005,PARA_OUT_OF_SCOPE_4_4,T3_FINE_V1,out_of_scope,REJECT_OUT_OF_SCOPE,CMBT ke pass hotel reservation aur movie ticket booking service F5,hi-en,Deva+Latn,CS4,N0,"{""station"": ""CMBT""}","{""station_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT""}",OUT_OF_SCOPE,template_instantiation,TMPL_OUT_OF_SCOPE_MIXED_SCRIPT_CS_4
PILOT_T3_TR_000024,,SFAM_FIRST_AND_LAST_SERVICE_012,FAM_FIRST_AND_LAST_SERVICE_012,PARA_FIRST_AND_LAST_SERVICE_11_3,T3_FINE_V1,first_and_last_service,GET_FIRST_LAST_SERVICE,Quick check: First train and last train operational hours between Thousand Lights and Kilpauk (F12) #4,hi-en,Latn,CS3,N1,"{""origin"": ""Thousand Lights"", ""destination"": ""Kilpauk"", ""timing_type"": ""first_last"", ""transport_mode"": ""train""}","{""origin_id"": ""METRO_THOUSAND_LIGHTS"", ""destination_id"": ""METRO_KILPAUK""}",ANSWERABLE_NOW,template_instantiation,TMPL_FIRST_AND_LAST_SERVICE_HINGLISH_LATN_11
PILOT_T3_TR_000025,,SFAM_POINT_TO_POINT_ROUTE_008,FAM_POINT_TO_POINT_ROUTE_008,PARA_POINT_TO_POINT_ROUTE_7_2,T3_FINE_V1,point_to_point_route,PLAN_ROUTE,Please tell: high court se little mount metro se travel kaise kare? [tarika F8] #2,hi,Latn,CS0,N0,"{""origin"": ""high court"", ""destination"": ""little mount"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_HIGHCOURT"", ""destination_id"": ""METRO_LITTLE_MOUNT""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_POINT_TO_POINT_ROUTE_HI_LATN_7
PILOT_T3_TR_000026,,SFAM_POINT_TO_POINT_ROUTE_005,FAM_POINT_TO_POINT_ROUTE_005,PARA_POINT_TO_POINT_ROUTE_4_1,T3_FINE_V1,point_to_point_route,PLAN_ROUTE,Please tell: सीएमबीटी से थाउजेंड लाइट्स मेट्रो से जाने का रास्ता क्या है? (प्रारूप F5) #2,hi,Deva,CS0,N0,"{""origin"": ""सीएमबीटी"", ""destination"": ""थाउजेंड लाइट्स"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT"", ""destination_id"": ""METRO_THOUSAND_LIGHTS""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_POINT_TO_POINT_ROUTE_HI_DEVA_4
PILOT_T3_TR_000027,,SFAM_MULTIMODAL_ROUTE_013,FAM_MULTIMODAL_ROUTE_013,PARA_MULTIMODAL_ROUTE_12_1,T3_FINE_V1,multimodal_route,PLAN_MULTIMODAL_ROUTE,Please tell: नेलवॉय से पचैयप्पा कॉलेज बस और मेट्रो मिलाकर सबसे तेज़ मार्ग कौन सा है? (योजना F13) #2,hi,Deva,CS0,N0,"{""origin"": ""नेलवॉय"", ""destination"": ""पचैयप्पा कॉलेज"", ""transport_mode"": ""बस और मेट्रो""}","{""origin_id"": ""BUS_469106564"", ""destination_id"": ""METRO_PACHAIYAPPA_S_COLLEGE""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MULTIMODAL_ROUTE_HI_DEVA_12
PILOT_T3_TR_000028,,SFAM_FARE_CALCULATION_005,FAM_FARE_CALCULATION_005,PARA_FARE_CALCULATION_4_0,T3_FINE_V1,fare_calculation,CALCULATE_FARE,Please tell: What is the single-journey ticket fare from CMBT to Thousand Lights on metro? [fare F5] #2,en,Latn,CS0,N0,"{""origin"": ""CMBT"", ""destination"": ""Thousand Lights"", ""fare_type"": ""token"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT"", ""destination_id"": ""METRO_THOUSAND_LIGHTS""}",ANSWERABLE_NOW,template_instantiation,TMPL_FARE_CALCULATION_EN_4
PILOT_T3_TR_000029,,SFAM_FIRST_AND_LAST_SERVICE_005,FAM_FIRST_AND_LAST_SERVICE_005,PARA_FIRST_AND_LAST_SERVICE_4_1,T3_FINE_V1,first_and_last_service,GET_FIRST_LAST_SERVICE,सीएमबीटी से थाउजेंड लाइट्स के लिए पहली और आखिरी ट्रेन का समय क्या है? (समय F5),hi,Deva,CS0,N0,"{""origin"": ""सीएमबीटी"", ""destination"": ""थाउजेंड लाइट्स"", ""timing_type"": ""first_last"", ""transport_mode"": ""ट्रेन""}","{""origin_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT"", ""destination_id"": ""METRO_THOUSAND_LIGHTS""}",ANSWERABLE_NOW,template_instantiation,TMPL_FIRST_AND_LAST_SERVICE_HI_DEVA_4
PILOT_T3_TR_000030,,SFAM_FARE_CALCULATION_003,FAM_FARE_CALCULATION_003,PARA_FARE_CALCULATION_2_0,T3_FINE_V1,fare_calculation,CALCULATE_FARE,Could you specify What is the single-journey ticket fare from Guindy to Anna Nagar Tower on metro? [fare F3]? #3,en,Latn,CS0,N0,"{""origin"": ""Guindy"", ""destination"": ""Anna Nagar Tower"", ""fare_type"": ""token"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_GUINDY"", ""destination_id"": ""METRO_ANNA_NAGAR_TOWER""}",ANSWERABLE_NOW,template_instantiation,TMPL_FARE_CALCULATION_EN_2
PILOT_T3_TR_000031,,SFAM_TICKETING_AND_PASSES_012,FAM_TICKETING_AND_PASSES_012,PARA_TICKETING_AND_PASSES_11_3,T3_FINE_V1,ticketing_and_passes,GET_TICKETING_POLICY,How can regular passengers apply for and renew National Common Mobility Card (F12)?,hi-en,Latn,CS3,N2,"{""ticket_type"": ""ncmc_card"", ""transport_mode"": ""transit""}",{},ANSWERABLE_NOW,template_instantiation,TMPL_TICKETING_AND_PASSES_HINGLISH_LATN_11
PILOT_T3_TR_000032,,SFAM_TICKETING_AND_PASSES_015,FAM_TICKETING_AND_PASSES_015,PARA_TICKETING_AND_PASSES_14_1,T3_FINE_V1,ticketing_and_passes,GET_TICKETING_POLICY,Could you specify यात्रियों के लिए क्यूआर टिकट प्राप्त करने के नियम और प्रक्रिया क्या हैं? (पास F15)? #3,hi,Deva,CS0,N1,"{""ticket_type"": ""qr_ticket"", ""transport_mode"": ""पारगमन""}",{},ANSWERABLE_NOW,template_instantiation,TMPL_TICKETING_AND_PASSES_HI_DEVA_14
