utterance_id,semantic_scenario_id,semantic_family_id,family_id,paraphrase_group_id,taxonomy_version,taxonomy_label,semantic_operation,query,language,script,code_switch_level,noise_level,slots_json,canonical_entities_json,answerability_status,generation_method,template_id
PILOT_T3_TR_000001,,SFAM_MODE_AVAILABILITY_019,FAM_MODE_AVAILABILITY_019,PARA_MODE_AVAILABILITY_18_0,T3_FINE_V1,mode_availability,CHECK_SERVICE_AVAILABILITY,Quick check: Are there direct public transport options from Kilpauk to Adyar? [avail F19] #4,en,Latn,CS0,N0,"{""origin"": ""Kilpauk"", ""destination"": ""Adyar"", ""transport_mode"": ""any""}","{""origin_id"": ""METRO_KILPAUK"", ""destination_id"": ""BUS_2587520213""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MODE_AVAILABILITY_EN_18
PILOT_T3_TR_000002,,SFAM_ROUTE_STOP_MEMBERSHIP_010,FAM_ROUTE_STOP_MEMBERSHIP_010,PARA_ROUTE_STOP_MEMBERSHIP_9_3,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,"Excuse me, Verify if Karunguzhi bus stop is covered by route 12G (F10) #6",hi-en,Latn,CS3,N2,"{""route_number"": ""12G"", ""stop"": ""Karunguzhi"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_18750"", ""stop_id"": ""BUS_5274698920""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HINGLISH_LATN_9
PILOT_T3_TR_000003,,SFAM_POINT_TO_POINT_ROUTE_001,FAM_POINT_TO_POINT_ROUTE_001,PARA_POINT_TO_POINT_ROUTE_0_1,T3_FINE_V1,point_to_point_route,PLAN_ROUTE,"Excuse me, एयरपोर्ट से हाई कोर्ट मेट्रो से जाने का रास्ता क्या है? (प्रारूप F1) #6",hi,Deva,CS0,N0,"{""origin"": ""एयरपोर्ट"", ""destination"": ""हाई कोर्ट"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_CHENNAI_INTERNATIONAL_AIRPORT"", ""destination_id"": ""METRO_HIGHCOURT""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_POINT_TO_POINT_ROUTE_HI_DEVA_0
PILOT_T3_TR_000004,,SFAM_ROUTE_STOP_SEQUENCE_001,FAM_ROUTE_STOP_SEQUENCE_001,PARA_ROUTE_STOP_SEQUENCE_0_0,T3_FINE_V1,route_stop_sequence,LIST_ROUTE_STOPS,Quick check: List every intermediate stop along route 21G in order. [seq F1] #4,en,Latn,CS0,N0,"{""route_number"": ""21G"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_8458""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_SEQUENCE_EN_0
PILOT_T3_TR_000005,,SFAM_SERVICE_FREQUENCY_008,FAM_SERVICE_FREQUENCY_008,PARA_SERVICE_FREQUENCY_7_0,T3_FINE_V1,service_frequency,GET_SERVICE_FREQUENCY,Please tell: How many minutes between trains on the line connecting High Court and Little Mount? [freq F8] #2,en,Latn,CS0,N0,"{""origin"": ""High Court"", ""destination"": ""Little Mount"", ""timing_type"": ""frequency"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_HIGHCOURT"", ""destination_id"": ""METRO_LITTLE_MOUNT""}",ANSWERABLE_NOW,template_instantiation,TMPL_SERVICE_FREQUENCY_EN_7
PILOT_T3_TR_000006,,SFAM_ROUTE_STOP_MEMBERSHIP_006,FAM_ROUTE_STOP_MEMBERSHIP_006,PARA_ROUTE_STOP_MEMBERSHIP_5_2,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,kya bus 29C ka poonamallee par stoppage hai confirm kare? [check F6],hi,Latn,CS0,N0,"{""route_number"": ""29C"", ""stop"": ""poonamallee"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_8631"", ""stop_id"": ""BUS_13972050953""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HI_LATN_5
PILOT_T3_TR_000007,,SFAM_SCHEDULED_DEPARTURE_002,FAM_SCHEDULED_DEPARTURE_002,PARA_SCHEDULED_DEPARTURE_1_3,T3_FINE_V1,scheduled_departure,GET_SCHEDULED_DEPARTURES,Chennai Central station se kal 8 baje train schedule kya hoga (F2),hi-en,Latn,CS3,N0,"{""origin"": ""Chennai Central"", ""temporal_relative"": ""kal"", ""resolved_temporal_offset"": ""UNRESOLVED_TEMPORAL_AMBIGUITY"", ""time"": ""8 baje"", ""temporal_ambiguity"": true, ""dual_candidates"": [""08:00:00"", ""20:00:00""]}","{""origin_id"": ""METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL""}",ANSWERABLE_NOW,template_instantiation,TMPL_SCHEDULED_DEPARTURE_HINGLISH_LATN_1
PILOT_T3_TR_000008,,SFAM_NEAREST_TRANSPORT_017,FAM_NEAREST_TRANSPORT_017,PARA_NEAREST_TRANSPORT_16_0,T3_FINE_V1,nearest_transport,FIND_NEAREST_STATION,Quick check: Which is the nearest metro station or transit stop to Mother Child Hospital? [loc F17] #4,en,Latn,CS0,N0,"{""landmark"": ""Mother Child Hospital"", ""transport_mode"": ""metro""}","{""place_id"": ""OSM_POI_7257518731""}",ANSWERABLE_NOW,template_instantiation,TMPL_NEAREST_TRANSPORT_EN_16
PILOT_T3_TR_000009,,SFAM_REALTIME_STATUS_QUERY_008,FAM_REALTIME_STATUS_QUERY_008,PARA_REALTIME_STATUS_QUERY_7_2,T3_FINE_V1,realtime_status_query,REJECT_UNSUPPORTED_REALTIME,Please tell: Bus 47A ka real time current gps location update kahan pahuncha? [track F8] #2,hi,Latn,CS0,N1,"{""route_number"": ""47A"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_19412""}",REQUIRES_REALTIME_DATA,template_instantiation,TMPL_REALTIME_STATUS_QUERY_HI_LATN_7
PILOT_T3_TR_000010,,SFAM_ROUTE_STOP_SEQUENCE_019,FAM_ROUTE_STOP_SEQUENCE_019,PARA_ROUTE_STOP_SEQUENCE_18_3,T3_FINE_V1,route_stop_sequence,LIST_ROUTE_STOPS,Full stop order details for bus number 570 please provide (F19),hi-en,Latn,CS3,N0,"{""route_number"": ""570"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_17967""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_SEQUENCE_HINGLISH_LATN_18
PILOT_T3_TR_000011,,SFAM_TICKETING_AND_PASSES_012,FAM_TICKETING_AND_PASSES_012,PARA_TICKETING_AND_PASSES_11_0,T3_FINE_V1,ticketing_and_passes,GET_TICKETING_POLICY,Please tell: What are the rules and procedure to purchase a National Common Mobility Card for commuters? [pass F12] #2,en,Latn,CS0,N0,"{""ticket_type"": ""ncmc_card"", ""transport_mode"": ""transit""}",{},ANSWERABLE_NOW,template_instantiation,TMPL_TICKETING_AND_PASSES_EN_11
PILOT_T3_TR_000012,,SFAM_REALTIME_STATUS_QUERY_008,FAM_REALTIME_STATUS_QUERY_008,PARA_REALTIME_STATUS_QUERY_7_0,T3_FINE_V1,realtime_status_query,REJECT_UNSUPPORTED_REALTIME,Quick check: Where is bus 47A right now and what is its live location? [live F8] #4,en,Latn,CS0,N0,"{""route_number"": ""47A"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_19412""}",REQUIRES_REALTIME_DATA,template_instantiation,TMPL_REALTIME_STATUS_QUERY_EN_7
