query,template_family,station,intent,origin,destination,transport_mode,information_type,slots_reviewed,language,script,source,split
नेहरू पार्क से वेलाचेरी कैसे जाऊँ?,route_query:how_basic,NEHRU_PARK,route_query,NEHRU_PARK,VELACHERY,,,False,hi,devanagari,template_combinatorial,train
how to reach thousand lights from airport in chennai?,route_query:reach_english,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,THOUSAND_LIGHTS,,,False,hinglish,latin_hinglish,template_combinatorial,train
ताम्बरम से तेनामपेट कैसे जाऊँ?,route_query:how_basic,TAMBARAM,route_query,TAMBARAM,TEYNAMPET,,,False,hi,devanagari,template_combinatorial,train
vadapalani se chennai central interchange station kaun sa padega?,route_query:interchange_point,VADAPALANI,route_query,VADAPALANI,CHENNAI_CENTRAL,,,False,hinglish,latin_hinglish,template_combinatorial,train
चेन्नई एयरपोर्ट स्टेशन से निकलकर अन्ना नगर तक कैसे पहुंचें?,route_query:station_exit,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,ANNA_NAGAR,,,False,hi,devanagari,template_combinatorial,train
कृपया ताम्बरम से एग्मोर जाने का सबसे आसान तरीका बताएं,route_query:easiest_way,TAMBARAM,route_query,TAMBARAM,CHENNAI_EGMORE,,,False,hi,devanagari,template_combinatorial,train
एलआईसी से नेहरू पार्क कैसे पहुंच सकते हैं?,route_query:reach_info,LIC,route_query,LIC,NEHRU_PARK,,,False,hi,devanagari,template_combinatorial,train
कृपया सीएमबीटी से एलआईसी जाने का सबसे आसान तरीका बताएं,route_query:easiest_way,CMBT,route_query,CMBT,LIC,,,False,hi,devanagari,template_combinatorial,train
vadapalani se egmore travel directions,route_query:directions,VADAPALANI,route_query,VADAPALANI,CHENNAI_EGMORE,,,False,hinglish,latin_hinglish,template_combinatorial,train
vadapalani se kilpauk fastest way to travel?,route_query:fastest_path,VADAPALANI,route_query,VADAPALANI,KILPAUK,,,False,hinglish,latin_hinglish,template_combinatorial,train
नेहरू पार्क स्टेशन से निकलकर एग्मोर तक कैसे पहुंचें?,route_query:station_exit,NEHRU_PARK,route_query,NEHRU_PARK,CHENNAI_EGMORE,,,False,hi,devanagari,template_combinatorial,train
shenoy nagar se velachery interchange station kaun sa padega?,route_query:interchange_point,SHENOY_NAGAR,route_query,SHENOY_NAGAR,VELACHERY,,,False,hinglish,latin_hinglish,template_combinatorial,train
टी नगर स्टेशन से निकलकर कोयम्बेडु मार्केट तक कैसे पहुंचें?,route_query:station_exit,NANDANAM,route_query,NANDANAM,KOYAMBEDU,,,False,hi,devanagari,template_combinatorial,train
गवर्नमेंट एस्टेट स्टेशन से निकलकर चेन्नई बीच तक कैसे पहुंचें?,route_query:station_exit,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,CHENNAI_BEACH,,,False,hi,devanagari,template_combinatorial,train
सेंट थॉमस माउंट से लिटिल माउंट जाने के लिए क्या साधन है?,route_query:means_transport,ST_THOMAS_MOUNT,route_query,ST_THOMAS_MOUNT,LITTLE_MOUNT,,,False,hi,devanagari,template_combinatorial,train
koyambedu se tambaram kaise jau?,route_query:how_basic,KOYAMBEDU,route_query,KOYAMBEDU,TAMBARAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
एग्मोर से एजी-डीएमएस जाने के लिए इंटरचेंज कहाँ करना होगा?,route_query:interchange_point,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,AG_DMS,,,False,hi,devanagari,template_combinatorial,train
thirumangalam se chennai central jane ke liye direct train hai kya?,route_query:direct_train,THIRUMANGALAM,route_query,THIRUMANGALAM,CHENNAI_CENTRAL,,,False,hinglish,latin_hinglish,template_combinatorial,train
हाई कोर्ट से नेहरू पार्क कैसे पहुंच सकते हैं?,route_query:reach_info,HIGH_COURT,route_query,HIGH_COURT,NEHRU_PARK,,,False,hi,devanagari,template_combinatorial,train
हवाई अड्डा से अन्ना नगर के लिए कौन सी ट्रेन या बस ठीक रहेगी?,route_query:mode_advice,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,ANNA_NAGAR,,,False,hi,devanagari,template_combinatorial,train
chennai central se nandanam jane ke liye direct train hai kya?,route_query:direct_train,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,NANDANAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
सेंट थॉमस माउंट से गिंडी के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,ST_THOMAS_MOUNT,route_query,ST_THOMAS_MOUNT,GUINDY,,,False,hi,devanagari,template_combinatorial,train
वडापलानी से मीनांबक्कम कैसे पहुंच सकते हैं?,route_query:reach_info,VADAPALANI,route_query,VADAPALANI,MEENAMBAKKAM,,,False,hi,devanagari,template_combinatorial,train
गवर्नमेंट एस्टेट से सीएमबीटी जाने के लिए क्या साधन है?,route_query:means_transport,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,CMBT,,,False,hi,devanagari,template_combinatorial,train
क्या चेन्नई सेंट्रल से गवर्नमेंट एस्टेट के लिए कोई सीधा रास्ता है?,route_query:direct_path,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,GOVERNMENT_ESTATE,,,False,hi,devanagari,template_combinatorial,train
गवर्नमेंट एस्टेट से वडापलानी कैसे पहुंच सकते हैं?,route_query:reach_info,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,VADAPALANI,,,False,hi,devanagari,template_combinatorial,train
हाई कोर्ट से कोयम्बेडु के लिए कौन सा मार्ग अच्छा है?,route_query:best_route,HIGH_COURT,route_query,HIGH_COURT,KOYAMBEDU,,,False,hi,devanagari,template_combinatorial,train
tambaram se vadapalani jane ke liye direct train hai kya?,route_query:direct_train,TAMBARAM,route_query,TAMBARAM,VADAPALANI,,,False,hinglish,latin_hinglish,template_combinatorial,train
आलंदूर से ताम्बरम जाने के लिए इंटरचेंज कहाँ करना होगा?,route_query:interchange_point,ALANDUR,route_query,ALANDUR,TAMBARAM,,,False,hi,devanagari,template_combinatorial,train
गवर्नमेंट एस्टेट स्टेशन से निकलकर टी नगर तक कैसे पहुंचें?,route_query:station_exit,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,NANDANAM,,,False,hi,devanagari,template_combinatorial,train
हवाई अड्डा से तिरुमंगलम के लिए दिशा-निर्देश दीजिए,route_query:directions,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,THIRUMANGALAM,,,False,hi,devanagari,template_combinatorial,train
चेन्नई सेंट्रल से हवाई अड्डा जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,CHENNAI_AIRPORT,,,False,hi,devanagari,template_combinatorial,train
एग्मोर से हाई कोर्ट के लिए कौन सी ट्रेन या बस ठीक रहेगी?,route_query:mode_advice,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,HIGH_COURT,,,False,hi,devanagari,template_combinatorial,train
meenambakkam se velachery travel directions,route_query:directions,MEENAMBAKKAM,route_query,MEENAMBAKKAM,VELACHERY,,,False,hinglish,latin_hinglish,template_combinatorial,train
वेलाचेरी से लिटिल माउंट का सबसे सुरक्षित रास्ता क्या है?,route_query:safe_route,VELACHERY,route_query,VELACHERY,LITTLE_MOUNT,,,False,hi,devanagari,template_combinatorial,train
कृपया तेनामपेट से एजी-डीएमएस जाने का सबसे आसान तरीका बताएं,route_query:easiest_way,TEYNAMPET,route_query,TEYNAMPET,AG_DMS,,,False,hi,devanagari,template_combinatorial,train
little mount se nehru park ke liye kaun sa route best hai?,route_query:best_route,LITTLE_MOUNT,route_query,LITTLE_MOUNT,NEHRU_PARK,,,False,hinglish,latin_hinglish,template_combinatorial,train
नंदनम से एयरपोर्ट के लिए कौन सा मार्ग अच्छा है?,route_query:best_route,NANDANAM,route_query,NANDANAM,CHENNAI_AIRPORT,,,False,hi,devanagari,template_combinatorial,train
सीएमबीटी से तेनामपेट जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,CMBT,route_query,CMBT,TEYNAMPET,,,False,hi,devanagari,template_combinatorial,train
ag dms se thirumangalam kaise jau?,route_query:how_basic,AG_DMS,route_query,AG_DMS,THIRUMANGALAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
